id,project_number,series_number,run_number,test_number,model_number,ship_name,loading_condition_id,ascii_name,ship_speed,comment,file_path_ascii,file_path_ascii_temp,file_path_log,file_path_hdf5,date,test_type,facility,angle1,angle2,scale_factor,name,lcg,kg,gm,CW,TF,TA,BWL,KXX,KZZ,BTT1,CP,Volume,A0,RH,lpp,beam,ABULB,BKX,TWIN,DCLR,VDES,RHBL,ASKEG,PD,ARH,CFP,AIX,PDTDES,RTYPE,SFP,BKL,BKB,PROT,D,LSKEG,RR,XSKEG,NDES,AR,BR,BRA,IRUD,PTYPE,XRUD,AI,HSKEG,RSKEG,LOA,ship_type_id,xm,ym,zm
22762,40199079,5,1,1,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\001\MDL-Proj40199079-Ser005-Test001-Run001.hdf5,2020-09-23,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22763,40199079,5,2,1,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\001\MDL-Proj40199079-Ser005-Test001-Run002.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22764,40199079,5,3,1,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\001\MDL-Proj40199079-Ser005-Test001-Run003.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22765,40199079,5,1,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run001.hdf5,2020-09-23,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22766,40199079,5,2,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run002.hdf5,2020-09-23,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22767,40199079,5,3,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run003.hdf5,2020-09-23,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22768,40199079,5,4,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run004.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22769,40199079,5,5,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run005.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22770,40199079,5,6,2,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 10/10PS,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\002\MDL-Proj40199079-Ser005-Test002-Run006.hdf5,2020-09-24,zigzag,MDL,10,10,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22771,40199079,5,1,3,M5139-02-A,M5139-02-A,167,,0.961769764,ZZ 20/20SB,,,,\\sspa.local\lab\MeasuredataMDL\40199079\005\003\MDL-Proj40199079-Ser005-Test003-Run001.hdf5,2020-09-24,zigzag,MDL,20,20,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
