time,lon,lat,speed,heading,xcourse,ycourse,zcourse,ruddercommand,rudder,delta_t,dist,delta,psi,thrust,-rudder,x0,y0
31.000000000000004,119.1616135,26.067192,0.9099999999999999,337.5,0.9291666666666666,-0.18999999999999995,339.46333333333337,60.0,23.0,0.38150000572204584,0.050030345867320684,-0.4014257279586958,5.890486225480862,0.0,-23.0,-2.4993096198886633,-9.34655443840893
31.500000000000004,119.1616105,26.067193999999997,0.9299999999999999,340.0,0.985,-0.18166666666666664,341.5616666666666,60.0,22.0,0.21850001811981196,0.3341746784597429,-0.3839724354387525,5.934119456780721,0.0,-22.0,-2.2686517951078713,-9.640495100873522
33.0,119.16160799999992,26.067196000000013,0.9200000000000004,341.0,0.907,-0.1704999999999999,346.8045000000001,60.0,22.0,1.1485998630523682,7.188219898652035e-09,-0.3839724354387525,5.951572749300664,0.0,-22.0,-2.039470562711358,-9.884355703834444
34.0,119.161604,26.067201,0.92,351.0,0.92,-0.24,351.12,60.0,21.0,1.144400119781494,0.6834101534694318,-0.3665191429188092,6.126105674500097,0.0,-21.0,-1.4731621891260147,-10.268646902753972
34.5,119.16160399999998,26.067201000000004,0.9200000000000002,351.0,0.8869999999999999,-0.255,354.13500000000005,60.0,21.0,0.6025002002716064,1.421947837814646e-09,-0.3665191429188092,6.126105674500097,0.0,-21.0,-1.4731621886603534,-10.268646905431524
35.0,119.161599,26.067207,0.89,356.0,0.86,-0.3,356.44,60.0,22.0,0.6004998683929443,0.8319705348846319,-0.3839724354387525,6.213372137099813,0.0,-22.0,-0.793001476675272,-10.749828327447176
36.5,119.161599,26.067207000000003,0.8900000000000002,356.0,0.8857142857142858,-0.2571428571428572,104.43571428571428,60.0,22.0,1.2021429538726809,7.069288649822942e-10,-0.3839724354387525,6.213372137099813,0.0,-22.0,-0.7930014757439494,-10.749828324827831
37.5,119.161594,26.067216,0.92,6.0,0.85,-0.13,6.63,60.0,21.0,1.2008569240570068,1.1155780047083537,-0.3665191429188092,6.387905062299246,0.0,-21.0,0.21985658956691623,-11.221200120577123
38.0,119.161594,26.067216,0.92,6.0,0.9257142857142856,-0.1885714285714285,8.332857142857142,60.0,21.0,0.4377143383026123,1.421947656692957e-09,-0.3665191429188092,6.387905062299246,0.0,-21.0,0.21985658956691623,-11.221200120577123
38.5,119.161593,26.067221,0.92,10.0,0.87,-0.53,10.64,60.0,26.0,0.4352858066558838,0.5629096997037778,-0.4537856055185257,6.457718232379019,0.0,-26.0,0.7773053557612002,-11.30501091183396
39.0,119.161593,26.067221,0.9200000000000002,10.0,0.8640000000000001,-0.286,12.752,60.0,26.0,0.6005997657775879,1.4651326972514074e-09,-0.4537856055185257,6.457718232379019,0.0,-26.0,0.7773053557612002,-11.30501091183396
39.5,119.161592,26.067225,0.9,14.0,0.86,-0.26,15.1,60.0,22.0,0.5984001159667969,0.4543120740088803,-0.3839724354387525,6.527531402458792,0.0,-22.0,1.223855014424771,-11.392091557034291
40.0,119.161592,26.067224500000002,0.925,15.0,0.9033333333333333,-0.15166666666666664,16.575,60.0,22.0,0.21899998188018793,0.055394511724917286,-0.3839724354387525,6.544984694978735,0.0,-22.0,1.168405459728092,-11.393726489914116
40.5,119.161592,26.067224,0.95,16.0,0.895,-0.2333333333333333,18.675,60.0,22.0,0.3833334445953369,0.0,-0.3839724354387525,6.562437987498679,0.0,-22.0,1.1129559045657516,-11.39536142005818
41.0,119.161591,26.067232,0.81,19.0,0.86,-0.31,20.24,60.0,24.0,0.3796665668487549,0.891942503772351,-0.4188790204786391,6.614797865058509,0.0,-24.0,2.0031020040623844,-11.469362605479546
