time,lon,lat,speed,heading,xcourse,ycourse,zcourse,rudder_command,rudder,delta,psi,thrust,-rudder,x0,y0
151.0,119.16185599999999,26.067291562824227,1.2011508793212302,24.925475640408905,0.745977222747178,-0.6200019397341642,27.266733304707593,10.0,26.880574154502376,-0.4691545238225574,0.43503161755077757,0.0,-26.880574154502376,74.36070177936926,-13.427645569026936
151.5,119.16185596260989,26.06729614956053,1.196276607778382,29.443141609999163,0.821556248060728,-0.6334220950099008,30.641319317555592,10.0,11.125226356005886,-0.19417182994195353,0.5138797632254295,0.0,-11.125226356005886,74.86947706947103,-13.416393566294573
152.0,119.16185519256162,26.06729922975355,1.1891150345353165,31.13193495340183,0.8075313004405892,-0.8814787471284535,33.93030817188694,10.0,3.5418824325671907,-0.06181751016684352,0.5433547674535695,0.0,-3.5418824325671907,75.21334164077416,-13.483450470608659
152.5,119.1618550975777,26.067301067777617,1.1758550347700223,33.87173525272449,0.7743476733413236,-0.6051380383432082,36.292356842120554,10.0,-10.135091217002667,0.17689071172665566,0.5911733035238759,0.0,10.135091217002667,75.41745732538402,-13.486954370746389
153.0,119.16185564165357,26.06730263765499,1.1574773691339975,36.486359509852434,0.8734389985403984,0.10231661962978471,38.327335425565536,10.0,-22.814380338087176,0.3981860537018783,0.6368071055132694,0.0,22.814380338087176,75.58994862670079,-13.427326788427308
153.5,119.16185552232143,26.067305133928528,1.1432973824491164,38.195278900872104,0.9013320946611391,-0.3805155476194158,39.51517628791442,10.0,-26.682528768281184,0.46569797976461375,0.666633375537739,0.0,26.682528768281184,75.86713548051193,-13.431117167405318
154.0,119.16185664728337,26.06730929456673,1.1300927435017871,39.352392574675044,0.8898577650457733,-0.596510037352931,40.51522615370559,10.0,-28.152616306659166,0.4913558476018481,0.6868288189654479,0.0,28.152616306659166,76.32522442610934,-13.304837168601807
154.5,119.16185729036962,26.06731147110898,1.115740584527699,40.27295164955122,1.0110150858503408,-0.009459252951312797,41.113428464356375,10.0,-28.939891525022954,0.5050963922816535,0.7028956057811502,0.0,28.939891525022954,76.56470192968845,-13.233309130766429
155.0,119.16185764461162,26.06731207435292,1.1140717916823735,40.50771444878394,0.8750862321175645,-0.01261299715957688,41.316770315331134,10.0,-29.193774673822805,0.5095274891435416,0.7069929895889597,0.0,29.193774673822805,76.63055504811928,-13.195855861355085
155.5,119.16185994688968,26.067315936234547,1.1137029779810343,40.50004251607301,0.8687517953035744,-0.05817963534127266,40.86013922433402,10.0,-29.30202360076809,0.5114167893304876,0.7068590891031625,0.0,29.30202360076809,77.05203552544117,-12.952632729429752
156.0,119.1618612195455,26.067318439091004,1.1099010889959626,40.1444747285738,0.8994103059143754,0.4236989866158636,40.401992116637274,10.0,-29.725401875069963,0.5188061341984669,0.7006532604972696,0.0,29.725401875069963,77.32584184687585,-12.81698009034153
156.5,119.16186197058019,26.067320066563138,1.1258186475067566,39.54771197621529,0.8884634229558255,0.06636437399465499,39.856505043489584,10.0,-30.221553814601076,0.5274656191334408,0.6902377856153501,0.0,30.221553814601076,77.50410920195282,-12.736435211147182
